specimen_id,filename_position,image_count,evidence_category,catalog_name,evidence_note,source_url,photo_identity_verified,new_morphological_assignment
USNM-3084,upper_m3,1,published_reference,,Exact catalog number and third-molar position occur in Lambert (2023). Photo identity still needs verification.,https://doi.org/10.1080/02724634.2023.2252021,no,none
USNM-3085,upper_m3,1,unresolved,,Locality alone does not identify this tooth. Seek its collection record and associated material.,,no,none
UF-212305,upper_m3,2,catalog_floridanus,Amebelodon (Amebelodon) floridanus,Amebelodon/Stenobelodon placement is disputed; this is a catalog association.,https://portal.idigbio.org/portal/records/3f4f11bf-c9fe-4695-80bc-070dad47a278,no,none
UF-38208,lower_m3,1,catalog_gomphotherium,Gomphotherium,Genus-level catalog label; species and photo identity are unverified.,https://portal.idigbio.org/portal/records/6f7f7272-1afe-41d0-91f6-c0133f06680a,no,none
UF-38213,lower_m3,1,catalog_gomphotherium,Gomphotherium,Genus-level catalog label; species and photo identity are unverified.,https://portal.idigbio.org/portal/records/1a97ddfb-1ebf-40ad-bada-b6578070c496,no,none
UF-38215,lower_m3,2,broad_catalog,Amebelodontinae,"Broad catalog identification; not a verified genus or species, and not proof of a second Love taxon.",https://portal.idigbio.org/portal/records/c4c3b3fb-18de-42c6-b12e-570e830b9359,no,none
UF-38216,lower_m3,1,broad_catalog,Amebelodontinae,"Broad catalog identification; not a verified genus or species, and not proof of a second Love taxon.",https://portal.idigbio.org/portal/records/062e7b7d-e430-42c1-abf4-bb450296f260,no,none
UF-38218,lower_m3,1,broad_catalog,Amebelodontinae,"Broad catalog identification; not a verified genus or species, and not proof of a second Love taxon.",https://portal.idigbio.org/portal/records/a8e5fdcb-987d-42ee-8b26-47a14c45a1c3,no,none
UF-38220,lower_m3,1,catalog_gomphotherium,Gomphotherium,Genus-level catalog label; species and photo identity are unverified.,https://portal.idigbio.org/portal/records/884fdd73-86f7-4449-9ddb-40f2b5293600,no,none
UF-38221,lower_m3,1,broad_catalog,Amebelodontinae,"Broad catalog identification; not a verified genus or species, and not proof of a second Love taxon.",https://portal.idigbio.org/portal/records/353fcb43-f67c-4fd9-a99f-6a95696dcb92,no,none
UF-38223,lower_m3,1,broad_catalog,Amebelodontinae,"Broad catalog identification; not a verified genus or species, and not proof of a second Love taxon.",https://portal.idigbio.org/portal/records/1d274c55-389f-4f9c-9109-979ad9cc53b4,no,none
UF-38226,lower_m3,1,broad_catalog,Amebelodontinae,"Broad catalog identification; not a verified genus or species, and not proof of a second Love taxon.",https://portal.idigbio.org/portal/records/deb8aa1c-e530-4b10-bd1c-77819dcbbcf4,no,none
UF-38228,lower_m3,1,catalog_gomphotherium,Gomphotherium,Genus-level catalog label; species and photo identity are unverified.,https://portal.idigbio.org/portal/records/60852bdc-c83c-4b0f-9b6d-a5577c1a996b,no,none
UF-38241,lower_m3,1,catalog_gomphotherium,Gomphotherium,Genus-level catalog label; species and photo identity are unverified.,https://portal.idigbio.org/portal/records/8c3802c5-c81a-4037-a86e-70702e114d2f,no,none
UF-38249,lower_m3,2,catalog_gomphotherium,Gomphotherium,Genus-level catalog label; species and photo identity are unverified.,https://portal.idigbio.org/portal/records/efedb32b-8b57-4b54-8861-82999d86332d,no,none
USNM-3082,lower_m3,1,unresolved,,Locality alone does not identify this tooth. Seek its collection record and associated material.,,no,none
USNM-3083,lower_m3,1,published_reference,,Exact catalog number and third-molar position occur in Lambert (2023). Photo identity still needs verification.,https://doi.org/10.1080/02724634.2023.2252021,no,none
UF-212304,lower_m3,2,position_hold,Amebelodon (Amebelodon) floridanus,"Catalog: floridanus; paper lists m1/m2, filenames claim m3.",https://doi.org/10.1080/02724634.2023.2252021,no,none
UF-217472,lower_m3,2,catalog_floridanus,Amebelodon (Amebelodon) floridanus,Amebelodon/Stenobelodon placement is disputed; this is a catalog association.,https://portal.idigbio.org/portal/records/1ae00a91-4b76-4f6d-8fe3-7fb6d74b3740,no,none
