tooth_position,specimen_id,site,image_path,source_path,side_inferred,metadata_status,anatomical_orientation,wear,preservation,photography_batch,scale_mm_per_pixel,reviewer,notes
upper_m3,USNM-3085,Mixson's Bone Bed,Mixson's Bone Bed/USNM-3085-01-LUM3.png,data/preprocessed/upper_m3/Mixson's Bone Bed/USNM-3085-01-LUM3.tiff,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,UF-212305,Tyner Farm,Tyner Farm/UF-212305-01-LUM3.png,data/preprocessed/upper_m3/Tyner Farm/UF-212305-01-LUM3.tiff,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,UF-212305,Tyner Farm,Tyner Farm/UF-212305-01-RUM3.png,data/preprocessed/upper_m3/Tyner Farm/UF-212305-01-RUM3.tiff,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38208,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38208-RL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38208-RL_occlusal.jpg,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38213,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38213-RL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38213-RL_occlusal.jpg,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38215,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38215-LL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38215-LL_occlusal.jpg,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38215,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38215-RL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38215-RL_occlusal.jpg,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38216,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38216-RL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38216-RL_occlusal.jpg,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38218,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38218-RL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38218-RL_occlusal.jpg,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38220,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38220-RL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38220-RL_occlusal.jpg,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38221,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38221-LL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38221-LL_occlusal.jpg,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38223,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38223-RL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38223-RL_occlusal.jpg,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38226,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38226-RL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38226-RL_occlusal.jpg,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38228,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38228-RL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38228-RL_occlusal.jpg,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38241,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38241-LL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38241-LL_occlusal.jpg,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38249,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38249-LL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38249-LL_occlusal.jpg,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-38249,Love_Bone_Bed,Love_Bone_Bed/LBB-UF-38249-RL_occlusal.png,data/segmented/lower_m3/Love_Bone_Bed/LBB-UF-38249-RL_occlusal.jpg,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,USNM-3082,Mixsons_Bone_Bed,Mixsons_Bone_Bed/Mixson_USNM-3082_occlusal.png,data/segmented/lower_m3/Mixsons_Bone_Bed/Mixson_USNM-3082_occlusal.jpg,unknown,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,USNM-3083,Mixsons_Bone_Bed,Mixsons_Bone_Bed/Mixson_USNM-3083_occlusal.png,data/segmented/lower_m3/Mixsons_Bone_Bed/Mixson_USNM-3083_occlusal.jpg,unknown,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-212304,Tyner_Farm,Tyner_Farm/Tyner_UF-212304-RL_occlusal.png,data/segmented/lower_m3/Tyner_Farm/Tyner_UF-212304-RL_occlusal.jpg,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-212304,Tyner_Farm,Tyner_Farm/Tyner_UF-212304_LL_occlusal.png,data/segmented/lower_m3/Tyner_Farm/Tyner_UF-212304_LL_occlusal.jpg,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-217472,Tyner_Farm,Tyner_Farm/Tyner_UF-217472-LL_occlusal.png,data/segmented/lower_m3/Tyner_Farm/Tyner_UF-217472-LL_occlusal.jpg,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
lower_m3,UF-217472,Tyner_Farm,Tyner_Farm/Tyner_UF-217472-RL_occlusal.png,data/segmented/lower_m3/Tyner_Farm/Tyner_UF-217472-RL_occlusal.jpg,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
